Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliant Energy Corporate Services, Inc.",,Open,12/18/2017,,"1,000 to 2,499",2,IA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy Transportation,,Open,12/18/2017,,100 to 499,1,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy Transportation,,Terminated,5/28/2013,8/27/2021,100 to 499,1,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Energy Company LLC,,Open,7/13/2011,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED ENERGY SERVICES LLC,,Open,7/8/2015,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allied Energy Services, LLC",,Open,9/23/2014,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allied Energy, Inc",,Open,2/23/2012,,20 to 99,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allied Energy, LLC",,Open,10/21/2015,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLSTATE ENERGY 2 LLC,Allstate Energy 2 LLC,Open,6/15/2021,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"allstate energy 2, llc",,Open,1/24/2023,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allstate Energy, Inc.",,Open,12/18/2007,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alltek Energy Systems, Inc.","Alltek Energy Systems, Inc.",Open,4/3/2023,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allwest Energy, Inc.",,Terminated,1/31/2008,2/23/2015,5 to 9,2,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally Energy Solutions,,Open,12/30/2019,,20 to 99,1,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALMANOR ENERGY PLUS, INC.",,Open,1/19/2010,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Electric Inc,Electron Solar Energy,Open,3/22/2011,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpha Energy and Electric, Inc.","Alpha Energy and Electric, Inc.",Open,12/1/2010,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpha Energy Solutions, LLC","Alpha Energy Solutions, LLC",Open,3/12/2021,,20 to 99,1,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpha Mechanical Service, Inc.",Alpha Energy Solutions,Open,10/25/2021,,100 to 499,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alphabet Energy, Inc.",,Open,3/3/2016,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Energy Inc.,,Open,5/16/2017,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altenergy, Incorporated","Altenergy, Incorporated",Open,6/21/2018,,20 to 99,7,ID, MD, MI, MO, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alterman Energy Services, Inc.","Alterman Energy Services, Inc.",Open,3/3/2021,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternate Energy Inc,,Open,1/3/2011,,10 to 19,2,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternate Energy Inc.,,Open,11/19/2012,,20 to 99,2,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternate Energy Systems, Inc.",,Open,7/8/2013,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternate Energy Technologies, LLC",,Terminated,1/12/2011,4/9/2014,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternate Energy Technologies, LLC","Alternate Energy Technologies, LLC",Open,11/8/2013,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternate Energy, Inc",,Terminated,5/30/2015,10/15/2015,20 to 99,1,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTERNATIVE ENERGY CONSTRUCTION LLC,,Open,3/10/2016,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Energy Services Inc.,,Open,11/1/2012,,5 to 9,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternative Energy Solutions, Ltd",,Open,3/6/2012,,5 to 9,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternative Energy Southeast, Inc.","Alternative Energy Southeast, Inc.",Open,2/8/2016,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternative Energy Store, Inc.","altE Store, Inc.",Open,12/16/2016,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternative Energy System Consulting, Inc.",,Open,11/6/2008,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude Energy LLC,,Open,11/17/2021,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altop Energy LLC,,Open,9/21/2020,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlveCor Energy Solutions LLC,,Open,11/14/2012,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambient Energy Inc,Ambient Energy Inc,Open,3/22/2016,,10 to 19,2,CA, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambient Energy, Inc",Ambient Energy,Open,3/28/2019,,10 to 19,2,CA, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambit Energy,Ambit Energy,Terminated,10/27/2010,4/14/2021,100 to 499,2,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Ag Energy, Inc.",,Open,8/15/2017,,5 to 9,2,MA, NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Council for an Energy-Efficient Economy,ACEEE,Open,8/24/2010,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN ENERGY COMPANIES, LLC",SAVI PROVISIONS,Open,8/30/2013,,10 to 19,3,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Contractors,,Open,7/26/2016,,20 to 99,1,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Contractors,American Energy Contractors,Open,3/13/2023,,20 to 99,1,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Management,,Open,4/6/2018,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Management LLC,,Open,8/9/2021,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy Management Services, LLC",,Terminated,1/8/2014,5/7/2021,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy Operations, Inc.",,Open,3/6/2012,,10 to 19,2,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy Producers, Inc.",,Open,10/16/2008,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Restaurant Equipment Inc,American Energy Restaurant Equipment,Open,5/22/2012,,20 to 99,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Services LLC,American Energy Services,Open,6/28/2012,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy Solutions, Inc.",American Energy Solutions,Open,3/20/2012,,10 to 19,5,AL, CA, CO, KS, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Technologies Company,,Open,11/16/2016,,5 to 9,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Energy Technologies Company,,Open,11/19/2013,,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy Transport & Oil Services, LLC",,Terminated,5/23/2013,4/30/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Energy, Inc",,Terminated,11/4/2016,2/11/2022,100 to 499,10,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Environmental Energy, Inc.",,Open,4/13/2022,,5 to 9,2,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Home Energy Corporation,American Home Energy Corporation,Open,1/26/2016,,10 to 19,2,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Insulation and Energy Services,,Open,3/23/2021,,10 to 19,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Life Energy Holding Group, INC",,Open,8/12/2014,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Lithium Energy Corp,American Lithium Energy Corp,Open,1/22/2020,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Lithium Energy Corp,American Lithium Energy Corp,Open,1/16/2023,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Lithium Energy Corporation,,Open,7/10/2012,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Museum of Science and Energy Foundation,American Museum of Science and Energy Foundation,Open,4/20/2022,,10 to 19,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Renewable Energy Inc.,,Open,5/13/2014,,20 to 99,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Safety & Equipment,Advanced Safety & Energy,Open,3/15/2023,,10 to 19,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAS TRANSPORTATION AND ENERGY COMPANY, INC",,Terminated,7/30/2008,2/7/2011,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americo Energy Resources LLC,,Open,7/12/2013,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERIFLOW ENERGY SERVICES, LLC",,Open,7/11/2012,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerril Energy LLC,,Open,11/19/2012,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplify Energy Services LLC,,Open,1/29/2020,,100 to 499,4,CA, TX, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampsun Energy Inc,AmpSun Electirc,Open,7/1/2020,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANAHAU ENERGY, LLC","ANAHAU ENERGY, LLC",Open,2/29/2016,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchor Energy Solutions LLC,,Open,4/8/2019,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDALUSIA HOLDEN ENERGY LLC,,Open,12/10/2020,,5 to 9,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andalusia Holden Energy, LLC",,Terminated,11/7/2016,3/27/2019,10 to 19,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGI Energy Systems,,Open,8/15/2013,,100 to 499,1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKOR Energy LLC,,Terminated,7/15/2008,4/21/2023,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anotech Energy USA Inc,Anotech Energy,Open,8/12/2013,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anterra Energy Services, Inc",,Open,12/22/2009,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthro Energy, Inc.",Anthro Energy,Open,7/31/2022,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antz Energy Systems, Inc.",,Open,3/28/2013,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOT Energy Americas LLC,AOT Energy Americas LLC,Open,1/16/2018,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AP4 ENERGY SERVICES, LLC","Turbine Controls & Excitation Group, Inc",Open,1/23/2015,,10 to 19,1,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apex Clean Energy, Inc.",,Open,5/18/2021,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apex Clean Energy, Inc.",,Open,5/19/2021,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apex Clean Energy, Inc.",,Open,4/22/2011,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apex Clean Energy, Inc.",,Open,7/19/2021,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apex Clean Energy, Inc.",,Open,5/4/2021,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex Energy Services LLC,,Open,10/2/2019,,10 to 19,1,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex Energy tek llc,Apex Energy tek llc,Open,8/5/2022,,20 to 99,4,MA, NY, SC, VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian Energy Services,,Open,8/16/2017,,20 to 99,1,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appalachian Energy Services, Inc.",,Open,5/5/2021,,20 to 99,2,PA, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appian Way Energy Partners LLC,,Open,2/12/2021,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLE ENERGY GROUP LLC,,Open,10/12/2017,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AppleBlossom Energy, Inc.",,Open,4/17/2012,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied Energy Solutions, Inc.",,Open,12/15/2008,,10 to 19,3,AZ, MS, OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied Energy Systems, Inc.","Applied Energy Systems, Inc.",Open,8/4/2011,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved Energy II LLC,Approved Energy,Open,1/2/2020,,5 to 9,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"APR Energy, LLC",,Open,10/24/2017,,100 to 499,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS ENERGY LLC,APS ENERGY LLC,Open,4/29/2021,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS Energy Services,,Open,12/13/2007,,20 to 99,3,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS Energy Systems,,Open,12/19/2011,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aqua Energy Services, LLC",,Open,4/16/2015,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aqua Energy Services, LLC",,Terminated,2/14/2017,9/16/2021,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Energy LLC,,Open,7/28/2011,,20 to 99,2,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aquilon Energy Services, Inc.",,Open,2/1/2018,,20 to 99,2,IL, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aquion Energy, Inc.",n/a,Open,10/7/2010,,10 to 19,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Energy Services LLC,AR Energy Services LLC,Open,10/19/2022,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAMARK Technical Services Group (State of Rhode Island-Energy),,Open,4/16/2010,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc Energy Services,,Open,10/25/2022,,100 to 499,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Energy, LLC",,Open,10/17/2017,,5 to 9,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architectural Energy Corporation,,Open,1/30/2008,,20 to 99,4,CA, CO, IL, TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARCTEX Energy Services, LLC",,Open,2/22/2017,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area Energy & Electric, Inc.",,Terminated,10/7/2009,12/26/2019,100 to 499,4,IN, OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area Energy & Electric,Inc",,Open,1/13/2020,,100 to 499,5,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena Energy, LLC",,Open,8/24/2022,,100 to 499,2,LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arevon Energy, Inc.","Arevon Energy, Inc.",Open,8/27/2018,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aria Energy Services, LLC",,Open,4/27/2016,,10 to 19,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Clean Energy,,Open,2/21/2017,,20 to 99,9,AL, IL, MO, MS, NY, SC, TN, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona Energy Industries, LLC",A Greener Day Recycling,Open,6/9/2011,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Energy Pros Inc.,,Open,12/11/2009,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Department of Energy & Environment,,Open,11/13/2018,,100 to 499,1,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARRE ENERGY INVESTMENTS LLC,ARRE ENERGY INVESTMENT LLC,Open,11/5/2018,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrow Energy  Inc,,Open,10/2/2012,,5 to 9,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artis Energy Intelligence, LLC",,Open,8/14/2018,,10 to 19,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artis Energy Solutions, LLC",,Open,2/13/2018,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artis Energy Solutions, LLC.",,Terminated,2/12/2018,2/13/2018,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASAG Energy, LLC",,Open,4/14/2014,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAP Energy Inc,,Open,3/28/2018,,100 to 499,8,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASB Energy Services, LLC",,Open,11/27/2017,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASRC Energy Services Alaska, Inc.",,Open,11/3/2021,,"1,000 to 2,499",1,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASRC Energy Services Equipment, LLC",,Open,4/29/2022,,20 to 99,1,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASRC Energy Services Omega, LLC",,Terminated,9/19/2011,4/21/2023,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASRC Energy Services Omega, LLC",,Open,5/23/2019,,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRC Energy Services TransAmerica LLC,,Open,5/7/2014,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASRC Energy Services, LLC",,Open,8/27/2021,,20 to 99,1,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Energy Group LLC,,Open,1/3/2022,,100 to 499,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Energy Group, LLC",,Terminated,7/17/2019,2/11/2022,100 to 499,3,FL, NV, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Energy Group, LLC",,Terminated,8/15/2017,5/14/2021,100 to 499,3,FL, NV, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association for Energy Affodability, Inc.",,Open,11/17/2015,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association for Energy Affordability, Inc.",,Open,11/8/2019,,100 to 499,2,CA, NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Energy Engineers,,Open,4/23/2015,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSOCIATION OF ENERGY SERVICES PROFESSIONALS,,Open,1/8/2021,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Energy Services Professionals (AESP),,Open,10/22/2009,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Astro Mechanical Contractors, Inc",Astro Energy Group,Open,5/4/2018,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
